algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.112200,9499,8
QuickSort,random,1000,0.073600,16898,6
QuickSelect,random,1000,0.012500,4563,14
MergeSort,sorted,1000,0.014500,4236,8
QuickSort,sorted,1000,0.042200,17390,6
QuickSelect,sorted,1000,0.005000,3404,13
MergeSort,duplicates,1000,0.035500,8948,8
QuickSort,duplicates,1000,0.022200,6609,2
QuickSelect,duplicates,1000,0.012100,3551,5
MergeSort,random,10000,0.640800,126940,11
QuickSort,random,10000,0.859500,245136,9
QuickSelect,random,10000,0.107700,44740,16
MergeSort,sorted,10000,0.160800,59248,11
QuickSort,sorted,10000,0.460200,259380,8
QuickSelect,sorted,10000,0.040100,42133,16
MergeSort,duplicates,10000,0.435800,121528,11
QuickSort,duplicates,10000,0.183700,57770,2
QuickSelect,duplicates,10000,0.096600,39223,4
MergeSort,random,100000,7.671800,1638992,14
QuickSort,random,100000,10.551500,3120405,11
QuickSelect,random,100000,1.291200,550218,32
MergeSort,sorted,100000,3.861200,744016,14
QuickSort,sorted,100000,5.525800,3377257,11
QuickSelect,sorted,100000,0.342500,522149,26
MergeSort,duplicates,100000,3.863600,1561165,14
QuickSort,duplicates,100000,1.507500,559832,3
QuickSelect,duplicates,100000,5.580800,310177,2
MergeSort,random,1000000,98.374100,19888408,18
QuickSort,random,1000000,120.943400,38594835,13
QuickSelect,random,1000000,9.779200,3875389,19
MergeSort,sorted,1000000,23.444500,9071040,18
QuickSort,sorted,1000000,61.756100,38845573,13
QuickSelect,sorted,1000000,2.156300,3111282,22
MergeSort,duplicates,1000000,47.564500,18922018,18
QuickSort,duplicates,1000000,14.403700,5398235,2
QuickSelect,duplicates,1000000,11.051700,4001558,5
